date,source,page_views,sessions,bounce_rate,likes,shares,comments
2025-05-28,Website,43566.0,40553.0,2.7,8521.0,3517.0,1544.0
,Facebook,39349.0,2416.0,17.57,8378.0,2216.0,824.0
2025-04-25,Website,45791.0,23498.0,43.02,8054.0,2240.0,1171.0
2025-05-20,Instagram,5202.0,4065.0,39.52,3909.0,4458.0,2595.0
2025-05-11,Instagram,10424.0,1420.0,55.73,499.0,4092.0,2752.0
2025-06-23,Twitter,44685.0,1148.0,68.37,7900.0,4976.0,2689.0
2025-05-13,Instagram,9111.0,9046.0,56.89,5977.0,4796.0,369.0
2025-07-11,Instagram,26208.0,23787.0,34.91,146.0,4500.0,1893.0
2025-06-28,Website,3793.0,3145.0,69.15,7734.0,3096.0,582.0
2025-06-07,Twitter,34954.0,4005.0,95.86,1409.0,3836.0,635.0
2025-06-14,Instagram,38161.0,23618.0,2.85,8649.0,308.0,1257.0
2025-05-27,LinkedIn,15548.0,13770.0,86.44,4826.0,2681.0,932.0
2025-06-19,Instagram,43805.0,7567.0,3.83,8778.0,3042.0,1769.0
2025-06-14,Twitter,6866.0,2825.0,94.48,1686.0,4639.0,1950.0
2025-05-11,Instagram,44825.0,11579.0,95.32,5046.0,564.0,1996.0
2025-06-07,Facebook,13223.0,1904.0,82.16,3421.0,3405.0,102.0
2025-05-10,Twitter,47506.0,15961.0,63.14,1936.0,702.0,1859.0
2025-06-05,Instagram,19975.0,4426.0,62.5,5076.0,237.0,2272.0
2025-04-15,LinkedIn,41043.0,23497.0,64.09,6019.0,541.0,447.0
2025-06-25,LinkedIn,9544.0,6370.0,48.46,4386.0,3537.0,2947.0
2025-05-22,Instagram,24923.0,1078.0,91.54,9955.0,4941.0,1134.0
2025-05-30,Twitter,1402.0,897.0,50.41,5453.0,2102.0,1840.0
2025-04-16,LinkedIn,46796.0,16256.0,59.25,5099.0,423.0,1333.0
2025-05-29,,25060.0,24753.0,25.77,4022.0,599.0,776.0
2025-06-10,LinkedIn,30497.0,3648.0,52.74,3927.0,4134.0,1906.0
2025-05-27,Twitter,10374.0,7366.0,65.94,8608.0,1640.0,340.0
2025-05-14,Instagram,41982.0,7868.0,82.55,7934.0,1669.0,2490.0
2025-05-26,LinkedIn,45856.0,26106.0,78.14,2711.0,2557.0,2354.0
2025-05-29,Website,38383.0,22315.0,18.63,4846.0,2312.0,2286.0
2025-07-09,Instagram,42727.0,37234.0,68.21,8769.0,2785.0,664.0
2025-07-10,Twitter,45128.0,1754.0,19.63,498.0,3550.0,1713.0
2025-07-04,Website,21326.0,18830.0,71.46,9550.0,4764.0,740.0
2025-06-06,Facebook,44307.0,21823.0,28.72,1610.0,2271.0,1738.0
2025-04-22,Instagram,40916.0,18300.0,42.95,1679.0,1547.0,107.0
2025-05-13,Website,45075.0,37216.0,0.38,8068.0,1718.0,2962.0
2025-06-24,Instagram,22553.0,4177.0,53.89,4784.0,1388.0,122.0
2025-04-16,LinkedIn,11009.0,2575.0,20.55,6112.0,2349.0,1857.0
2025-05-14,LinkedIn,29517.0,8800.0,24.37,6697.0,2802.0,1698.0
2025-05-13,LinkedIn,44764.0,23817.0,55.1,7713.0,1546.0,475.0
2025-07-04,Website,35630.0,18555.0,73.07,1590.0,2961.0,2019.0
2025-04-23,Facebook,49763.0,11635.0,50.65,2614.0,492.0,1406.0
2025-06-21,Facebook,19088.0,1796.0,55.06,2467.0,955.0,2607.0
2025-05-22,LinkedIn,20839.0,6581.0,32.75,463.0,1826.0,1257.0
2025-06-02,Twitter,29979.0,9504.0,29.38,3901.0,3680.0,2154.0
2025-05-31,LinkedIn,3418.0,1646.0,74.14,8364.0,3491.0,1329.0
2025-05-05,Website,1368.0,1207.0,56.93,1109.0,742.0,264.0
2025-04-29,LinkedIn,38922.0,27992.0,25.88,5272.0,2129.0,222.0
2025-06-28,Website,13064.0,3265.0,65.93,966.0,53.0,239.0
2025-05-22,LinkedIn,26417.0,5272.0,58.35,3348.0,3055.0,824.0
2025-06-05,Instagram,45660.0,32505.0,70.9,690.0,3528.0,833.0
2025-06-21,Website,34929.0,17184.0,36.55,5084.0,3955.0,607.0
2025-06-15,LinkedIn,33447.0,3815.0,45.25,4868.0,2206.0,945.0
2025-05-01,Instagram,49983.0,46562.0,20.47,4045.0,1858.0,129.0
2025-06-23,Twitter,7718.0,2468.0,90.44,6221.0,446.0,17.0
2025-05-10,Instagram,40538.0,37003.0,58.38,7701.0,4357.0,2566.0
2025-05-04,Twitter,35834.0,1681.0,20.87,5034.0,384.0,
2025-04-23,LinkedIn,30977.0,17018.0,82.14,5956.0,2324.0,1666.0
2025-04-21,Twitter,40428.0,12971.0,11.82,3677.0,2640.0,1025.0
2025-06-25,Website,45855.0,42402.0,96.08,8888.0,4963.0,758.0
2025-07-09,LinkedIn,9225.0,3507.0,80.81,3187.0,3904.0,69.0
2025-05-09,Facebook,37731.0,22736.0,57.37,8044.0,1802.0,2441.0
2025-04-25,Website,16694.0,2121.0,9.18,2523.0,893.0,2717.0
2025-06-01,Website,15304.0,12844.0,27.49,5540.0,3936.0,1547.0
2025-06-09,Website,26211.0,10004.0,70.67,2607.0,4452.0,2862.0
2025-06-28,Instagram,39879.0,,24.93,5640.0,1375.0,2222.0
2025-07-05,LinkedIn,5936.0,4217.0,93.12,7554.0,1176.0,2467.0
2025-06-28,Facebook,13721.0,3906.0,87.62,1113.0,3489.0,1878.0
2025-05-11,Website,21693.0,2079.0,73.54,3265.0,1960.0,1330.0
2025-05-05,Instagram,48446.0,36.0,26.71,7432.0,1454.0,439.0
2025-05-22,Website,12056.0,8201.0,79.31,9964.0,613.0,2259.0
2025-07-11,Facebook,26694.0,19364.0,57.59,5688.0,1184.0,891.0
2025-04-22,Website,40362.0,12660.0,33.08,8024.0,1680.0,2031.0
2025-05-25,LinkedIn,25670.0,23170.0,0.4,8976.0,1126.0,182.0
2025-06-23,Facebook,16029.0,65.0,23.98,676.0,2267.0,2916.0
2025-07-03,LinkedIn,21996.0,6781.0,41.46,5003.0,1592.0,2545.0
2025-06-28,Twitter,13473.0,7189.0,27.73,4579.0,1020.0,2318.0
2025-06-14,LinkedIn,32230.0,27858.0,5.14,2777.0,1803.0,2760.0
,Facebook,39293.0,15287.0,76.14,3456.0,306.0,171.0
2025-05-02,LinkedIn,36488.0,16757.0,61.8,2165.0,1644.0,2111.0
2025-04-24,Website,36892.0,33171.0,62.36,951.0,3657.0,1281.0
2025-06-04,Website,23907.0,11994.0,47.7,8881.0,3456.0,jYFnRP7f
2025-05-26,Website,22629.0,5424.0,7.17,2092.0,1528.0,2177.0
2025-06-12,Twitter,44028.0,26520.0,31.34,9699.0,1981.0,274.0
2025-07-04,Twitter,4700.0,4578.0,1.47,803.0,2091.0,2676.0
2025-06-27,Website,42505.0,6381.0,57.99,4195.0,4097.0,1833.0
2025-05-27,LinkedIn,47850.0,27688.0,23.74,4005.0,639.0,1120.0
2025-07-01,Instagram,1303.0,810.0,97.23,500.0,4295.0,1854.0
2025-06-27,Instagram,11490.0,7616.0,98.62,3649.0,3273.0,1642.0
2025-04-24,Twitter,37537.0,5102.0,50.23,1638.0,3079.0,2603.0
2025-06-05,Twitter,464.0,271.0,21.9,6495.0,4786.0,1133.0
2025-05-19,LinkedIn,,29915.0,76.4,21.0,1932.0,1901.0
2025-06-19,LinkedIn,27871.0,17017.0,84.5,3855.0,4422.0,2966.0
2025-07-12,Website,44959.0,12873.0,88.44,9866.0,215.0,2974.0
2025-07-08,LinkedIn,35977.0,13223.0,15.11,2972.0,87.0,2881.0
2025-05-03,Website,30372.0,20624.0,92.69,554.0,4213.0,306.0
2025-07-01,Website,13517.0,4247.0,69.65,3432.0,1657.0,88.0
2025-07-01,Instagram,2316.0,1464.0,95.76,2143.0,328.0,527.0
2025-05-17,Twitter,41407.0,27240.0,8.76,6979.0,4250.0,1681.0
2025-06-26,,48295.0,31006.0,10.59,8464.0,458.0,1771.0
2025-05-25,Instagram,18629.0,3261.0,52.75,2817.0,4460.0,198.0
2025-04-22,Website,17460.0,4116.0,58.26,6648.0,VAmA7Zur,1178.0
2025-06-17,Instagram,37029.0,29503.0,49.3,580.0,3415.0,1781.0
2025-06-29,Website,16044.0,,54.72,8157.0,2174.0,2504.0
2025-06-07,LinkedIn,66.0,42.0,35.27,6014.0,2579.0,2255.0
2025-07-12,Instagram,47192.0,27624.0,34.44,3969.0,949.0,2346.0
2025-07-03,,22630.0,8559.0,20.1,1123.0,610.0,2906.0
2025-04-25,LinkedIn,44265.0,18173.0,52.09,9833.0,3152.0,406.0
2025-06-22,Website,8187.0,3300.0,22.45,2930.0,3587.0,2733.0
2025-05-05,LinkedIn,15217.0,,90.7,8084.0,1387.0,1002.0
2025-06-29,Website,33416.0,927.0,52.56,7187.0,1766.0,813.0
2025-06-29,Twitter,40551.0,22526.0,73.46,351.0,1934.0,2064.0
2025-06-06,Facebook,3223.0,212.0,43.99,6281.0,1475.0,2716.0
2025-05-21,Website,46672.0,46246.0,84.95,6088.0,4902.0,1692.0
2025-04-17,Twitter,16932.0,13481.0,18.92,1910.0,2291.0,2827.0
2025-04-26,LinkedIn,974.0,455.0,91.89,1222.0,4272.0,1438.0
2025-05-30,LinkedIn,22204.0,15403.0,5.83,7118.0,3224.0,1128.0
2025-05-04,Facebook,18545.0,18441.0,70.29,6769.0,1888.0,2574.0
2025-06-08,Twitter,48269.0,46725.0,69.74,8373.0,798.0,308.0
2025-05-02,LinkedIn,9011.0,1846.0,2.29,2872.0,2258.0,1870.0
2025-06-12,Facebook,33703.0,17307.0,53.54,6013.0,3583.0,158.0
2025-05-10,Website,30477.0,21333.0,36.35,5256.0,3530.0,351.0
2025-05-24,Website,10335.0,3737.0,48.36,104.0,1876.0,1655.0
2025-07-13,Website,13489.0,3144.0,99.57,9018.0,1225.0,533.0
2025-04-27,Twitter,20708.0,14235.0,30.78,6308.0,3885.0,475.0
2025-07-11,Twitter,39878.0,7528.0,87.85,2567.0,961.0,923.0
2025-04-25,Website,10406.0,7416.0,54.42,751.0,1010.0,1727.0
2025-05-16,Twitter,9720.0,304.0,47.37,7246.0,1953.0,1187.0
2025-05-29,Instagram,21482.0,9137.0,65.15,678.0,2099.0,2422.0
2025-06-23,Twitter,10909.0,,96.46,2588.0,895.0,2441.0
2025-07-06,Website,33774.0,3965.0,71.46,5808.0,1189.0,2878.0
2025-06-13,Facebook,33257.0,14321.0,40.75,4119.0,4634.0,2319.0
2025-05-12,Website,13504.0,10634.0,19.28,7548.0,502.0,1818.0
2025-05-04,Instagram,11948.0,8510.0,57.44,7555.0,4027.0,143.0
2025-07-05,Instagram,41650.0,3325.0,54.75,3175.0,3530.0,662.0
2025-06-06,Website,20136.0,1626.0,78.88,7544.0,3965.0,2035.0
2025-05-05,Website,36559.0,19783.0,48.28,1056.0,564.0,2850.0
2025-07-10,Instagram,33420.0,15065.0,0.35,2282.0,1252.0,812.0
2025-06-02,Instagram,12450.0,12073.0,94.49,6644.0,4122.0,2784.0
2025-07-01,Website,35580.0,22413.0,41.82,9932.0,2303.0,822.0
2025-05-11,SB0mqWy3,11431.0,5082.0,66.52,1872.0,1572.0,1898.0
2025-07-02,Website,15189.0,,46.39,5494.0,545.0,318.0
2025-06-19,Facebook,24517.0,1602.0,28.35,6992.0,4790.0,964.0
2025-06-21,Website,39675.0,20465.0,85.17,4534.0,3590.0,1867.0
2025-05-14,Website,19537.0,19110.0,98.4,2835.0,1041.0,2731.0
2025-05-05,Website,42229.0,35375.0,63.49,6481.0,4740.0,2531.0
2025-06-02,Instagram,20063.0,16192.0,76.0,gW86tHPx,4134.0,843.0
2025-06-13,LinkedIn,30822.0,18951.0,73.18,3969.0,4063.0,813.0
2025-07-07,Website,29087.0,3918.0,98.63,373.0,406.0,1196.0
2025-05-22,Instagram,47440.0,41841.0,84.72,5728.0,2095.0,1359.0
2025-07-03,Facebook,27394.0,14712.0,97.79,4403.0,3201.0,1711.0
2025-05-24,Instagram,17720.0,9355.0,52.09,6427.0,2586.0,1478.0
2025-05-23,Website,39814.0,4691.0,92.32,6313.0,4551.0,1025.0
2025-04-21,Website,,43901.0,1.31,1738.0,260.0,1984.0
2025-06-01,Instagram,4578.0,2425.0,61.73,5291.0,673.0,320.0
2025-06-28,Website,29626.0,8189.0,65.68,8605.0,2189.0,2123.0
2025-06-01,Instagram,39591.0,4080.0,86.33,719.0,3669.0,482.0
2025-05-01,Website,46947.0,44121.0,88.45,372.0,3648.0,2364.0
2025-05-08,Instagram,21783.0,1865.0,45.0,7325.0,3601.0,939.0
2025-04-24,Website,144.0,106.0,20.85,5337.0,33.0,522.0
2025-04-24,Website,20044.0,1781.0,53.11,7136.0,4754.0,2886.0
2025-05-19,Website,36602.0,1811.0,6.82,3407.0,3378.0,1683.0
,Instagram,1475.0,149.0,14.62,1159.0,500.0,17.0
2025-04-16,Twitter,17499.0,10631.0,14.43,7207.0,711.0,1948.0
2025-06-05,Instagram,26910.0,25676.0,25.72,6080.0,753.0,314.0
2025-05-02,Twitter,19906.0,11411.0,40.46,3482.0,3522.0,2391.0
2025-06-28,LinkedIn,36111.0,14578.0,51.7,2560.0,2442.0,1823.0
2025-06-20,Facebook,16372.0,9639.0,18.66,765.0,1519.0,120.0
2025-04-25,Facebook,13899.0,12582.0,69.06,1168.0,1356.0,1352.0
2025-05-29,LinkedIn,29953.0,26222.0,74.95,3564.0,2355.0,1241.0
2025-07-08,Website,27105.0,15608.0,26.53,7651.0,2478.0,2456.0
2025-05-28,Instagram,28765.0,18718.0,26.44,4095.0,2525.0,2368.0
2025-07-10,LinkedIn,48175.0,41096.0,48.86,1859.0,4487.0,1596.0
2025-05-29,Website,22644.0,18829.0,48.65,2919.0,4260.0,2935.0
2025-05-25,Facebook,10855.0,3300.0,46.33,4862.0,4857.0,2093.0
2025-06-15,Facebook,14546.0,11282.0,82.75,3527.0,4743.0,2429.0
2025-07-10,Website,32818.0,3068.0,36.34,696.0,2025.0,1045.0
2025-06-28,Twitter,49703.0,22650.0,85.6,1662.0,2946.0,2461.0
2025-04-29,Twitter,8594.0,3585.0,79.89,524.0,1731.0,1928.0
2025-07-07,Instagram,38035.0,8585.0,85.54,5980.0,3031.0,1977.0
2025-06-09,Facebook,12089.0,949.0,22.28,1141.0,4506.0,2382.0
2025-06-14,Twitter,22568.0,7585.0,74.04,4265.0,1703.0,2388.0
2025-06-15,Twitter,37743.0,199.0,14.21,3986.0,1957.0,362.0
2025-05-11,Website,31323.0,21795.0,79.88,5326.0,1274.0,705.0
2025-06-06,Instagram,47757.0,18398.0,19.91,4203.0,1653.0,273.0
2025-06-24,Instagram,36165.0,4705.0,6.06,1638.0,3386.0,407.0
2025-04-20,LinkedIn,38166.0,1976.0,1.29,7846.0,1811.0,1127.0
2025-06-26,Twitter,29227.0,19098.0,29.12,7126.0,3090.0,2946.0
2025-04-28,Website,24485.0,23897.0,90.67,4441.0,2400.0,2133.0
2025-06-09,Facebook,23198.0,10513.0,76.9,1285.0,2279.0,1089.0
2025-05-29,Instagram,370.0,141.0,43.11,4283.0,476.0,1036.0
2025-04-24,LinkedIn,21573.0,6851.0,43.39,321.0,4058.0,1736.0
2025-06-03,Facebook,2411.0,508.0,77.95,625.0,4970.0,2885.0
2025-05-29,Website,35491.0,10843.0,12.2,3993.0,1239.0,2025.0
2025-04-21,Facebook,15684.0,11430.0,90.35,9038.0,4890.0,300.0
2025-05-06,LinkedIn,43446.0,43036.0,57.39,7610.0,1807.0,2527.0
2025-06-22,Facebook,43589.0,31163.0,97.75,1531.0,1934.0,1382.0
2025-07-01,Website,35110.0,20540.0,90.85,8305.0,1136.0,2526.0
2025-06-28,LinkedIn,39815.0,30522.0,1.61,5963.0,1671.0,2812.0
2025-07-03,LinkedIn,24097.0,12393.0,55.39,8123.0,2833.0,1446.0
2025-05-23,Instagram,29929.0,3989.0,96.43,5712.0,3086.0,1844.0
2025-05-06,Facebook,11044.0,10099.0,10.85,3401.0,2107.0,1075.0
2025-04-15,Website,12813.0,248.0,44.0,1612.0,2712.0,1598.0
2025-06-28,Website,11062.0,9612.0,38.9,9319.0,1579.0,2707.0
2025-06-08,Instagram,39807.0,4472.0,57.0,1659.0,3301.0,2515.0
2025-05-26,Website,25300.0,1728.0,66.15,2950.0,1166.0,854.0
2025-05-06,Website,3966.0,1962.0,18.71,1695.0,2069.0,2696.0
2025-04-30,Instagram,29284.0,19598.0,,6797.0,639.0,255.0
2025-06-08,Website,22270.0,7796.0,47.45,7376.0,1023.0,1185.0
2025-04-17,Website,15180.0,1944.0,84.18,4903.0,3397.0,2565.0
2025-07-11,Instagram,23193.0,12146.0,38.2,1280.0,3009.0,2718.0
2025-06-03,Facebook,36125.0,29727.0,84.34,3282.0,282.0,2809.0
2025-04-28,LinkedIn,24146.0,20606.0,49.99,5095.0,,666.0
2025-05-22,Facebook,42524.0,noEzvizZ,81.22,5804.0,1907.0,1660.0
2025-05-13,Facebook,11470.0,4183.0,59.26,3124.0,292.0,1158.0
2025-06-23,Website,29687.0,17820.0,53.92,967.0,3570.0,1711.0
2025-05-23,Website,10410.0,7252.0,57.7,5428.0,598.0,440.0
2025-06-08,Instagram,37679.0,8pUBkdwn,4.58,2278.0,4581.0,2847.0
2025-07-03,Website,40182.0,20923.0,43.24,3257.0,4719.0,2174.0
2025-04-26,LinkedIn,126.0,7.0,53.32,6025.0,2028.0,2678.0
2025-05-20,Facebook,6654.0,2696.0,59.11,4140.0,531.0,1921.0
2025-05-13,Website,25680.0,12603.0,6.34,7503.0,1070.0,84.0
2025-05-06,LinkedIn,21471.0,12118.0,45.97,3946.0,878.0,1733.0
2025-05-29,Website,9662.0,6592.0,42.51,4305.0,2072.0,1926.0
2025-06-03,Website,7082.0,4932.0,41.68,3.0,3131.0,2806.0
2025-06-11,LinkedIn,12479.0,1404.0,90.96,9633.0,4103.0,2626.0
2025-05-31,LinkedIn,25022.0,13067.0,71.34,8041.0,1265.0,789.0
2025-07-09,LinkedIn,38245.0,24653.0,38.56,3931.0,1201.0,844.0
2025-06-19,Instagram,28888.0,13406.0,53.7,302.0,338.0,71.0
2025-05-25,Twitter,4935.0,2694.0,78.94,6773.0,1837.0,1407.0
2025-05-22,LinkedIn,10179.0,9177.0,92.92,4772.0,2753.0,2822.0
2025-04-19,Facebook,42388.0,25607.0,60.13,6409.0,991.0,1223.0
2025-05-19,Facebook,17422.0,4726.0,3.46,4473.0,4549.0,56.0
2025-06-04,Instagram,36073.0,3672.0,68.99,9925.0,4830.0,802.0
2025-05-03,Website,26691.0,,62.27,6000.0,3222.0,696.0
2025-05-12,Instagram,1218.0,15.0,7.8,8224.0,1182.0,2673.0
2025-05-12,Website,34686.0,660.0,17.64,4779.0,4708.0,724.0
2025-06-21,Twitter,7698.0,252.0,3.59,2173.0,3585.0,542.0
2025-05-01,,47737.0,27023.0,68.17,3425.0,3232.0,343.0
2025-07-06,LinkedIn,16045.0,6773.0,29.15,3418.0,277.0,2659.0
2025-06-14,LinkedIn,39546.0,17538.0,36.46,8419.0,455.0,771.0
2025-05-05,Website,19406.0,4794.0,89.87,3824.0,342.0,1860.0
2025-05-12,LinkedIn,33604.0,21474.0,24.76,7175.0,3782.0,1408.0
2025-04-29,LinkedIn,31587.0,29870.0,18.31,4681.0,4706.0,2523.0
2025-07-13,Website,47842.0,40313.0,2.3,5452.0,1145.0,826.0
2025-05-02,Instagram,44279.0,31255.0,61.02,8555.0,4559.0,188.0
2025-06-27,Instagram,34752.0,15319.0,42.57,4876.0,573.0,179.0
2025-06-23,Twitter,32990.0,7946.0,20.91,8636.0,4533.0,1615.0
2025-05-28,LinkedIn,18605.0,6067.0,66.25,1710.0,3595.0,2751.0
2025-05-31,Website,9314.0,4339.0,23.06,4278.0,2819.0,479.0
2025-07-01,Twitter,5164.0,3467.0,57.69,1466.0,4616.0,1061.0
2025-07-06,LinkedIn,39418.0,31259.0,66.84,9560.0,1258.0,2168.0
2025-04-15,LinkedIn,16720.0,14579.0,5.98,618.0,3527.0,1524.0
2025-07-10,Twitter,34449.0,24605.0,31.13,6599.0,1422.0,2442.0
2025-04-20,LinkedIn,12757.0,10724.0,1.44,6965.0,3176.0,1972.0
2025-06-23,LinkedIn,1756.0,1507.0,64.44,2604.0,2640.0,2625.0
2025-04-18,Twitter,48267.0,11643.0,74.43,3726.0,3646.0,654.0
2025-05-04,,13769.0,12178.0,32.91,2426.0,4253.0,712.0
2025-06-22,Instagram,2631.0,145.0,14.42,9.0,2915.0,2516.0
2025-06-28,Facebook,23418.0,22005.0,21.78,6291.0,1735.0,2915.0
2025-05-25,Instagram,25566.0,18264.0,51.97,5411.0,2499.0,427.0
2025-05-23,LinkedIn,10797.0,4187.0,94.87,1113.0,2156.0,2452.0
2025-06-11,LinkedIn,11256.0,6766.0,60.65,8533.0,3340.0,2522.0
2025-05-23,Facebook,17663.0,4730.0,79.04,91.0,2066.0,1357.0
2025-05-19,Facebook,49944.0,47983.0,42.72,8479.0,983.0,647.0
2025-05-05,Website,31513.0,20277.0,96.79,589.0,4650.0,1881.0
2025-04-17,LinkedIn,45366.0,13041.0,36.95,3619.0,1480.0,2314.0
2025-05-24,Instagram,19303.0,15512.0,7.61,7676.0,3602.0,2065.0
2025-06-02,Twitter,40767.0,4158.0,72.43,2171.0,2937.0,2467.0
2025-07-13,,5297.0,2294.0,41.86,569.0,2208.0,708.0
2025-04-24,LinkedIn,30746.0,27687.0,,3477.0,521.0,2104.0
2025-04-20,Instagram,27082.0,17170.0,2.88,5886.0,16.0,2982.0
2025-04-30,Facebook,21050.0,,76.15,4482.0,1935.0,651.0
2025-05-17,Twitter,16635.0,7416.0,71.39,5277.0,3002.0,2457.0
2025-07-13,Instagram,46798.0,27312.0,21.74,6939.0,4980.0,268.0
2025-04-26,Instagram,14257.0,9536.0,2.21,5756.0,2873.0,1317.0
2025-06-25,LinkedIn,34864.0,20131.0,14.76,2654.0,3302.0,2390.0
2025-04-25,Facebook,18525.0,6007.0,75.15,982.0,2604.0,1950.0
2025-06-17,Facebook,49445.0,17985.0,91.58,414.0,334.0,966.0
2025-07-12,Facebook,2250.0,1230.0,12.15,7664.0,i1jMNE3F,2533.0
2025-04-20,Facebook,26530.0,13037.0,34.37,963.0,4031.0,241.0
2025-06-26,Twitter,14529.0,705.0,56.4,6970.0,2497.0,1339.0
2025-06-02,Website,42384.0,4379.0,21.54,6149.0,1296.0,1408.0
2025-04-23,Instagram,15149.0,6942.0,95.47,6108.0,1527.0,1622.0
2025-06-26,6z7RwKlw,5980.0,634.0,85.9,4247.0,4467.0,2105.0
2025-06-25,Instagram,34484.0,12315.0,12.08,6289.0,2302.0,2438.0
2025-05-22,Twitter,47403.0,2783.0,1.5,7410.0,4749.0,
2025-06-17,Twitter,33108.0,26117.0,63.6,7875.0,1596.0,162.0
2025-05-19,Website,33751.0,18317.0,17.85,8282.0,3454.0,2466.0
2025-07-02,Website,32786.0,23085.0,13.22,9682.0,1523.0,1412.0
2025-04-19,LinkedIn,8595.0,8441.0,28.24,9933.0,4200.0,918.0
2025-05-18,Website,42559.0,3984.0,3.02,726.0,3250.0,1592.0
2025-06-30,Twitter,40606.0,39197.0,78.08,3813.0,2578.0,1697.0
2025-04-23,LinkedIn,7465.0,6347.0,30.33,286.0,2479.0,1885.0
2025-05-26,Website,409.0,320.0,16.16,4863.0,1934.0,2676.0
2025-06-24,Website,47509.0,18785.0,91.32,1789.0,2824.0,849.0
2025-06-11,LinkedIn,42155.0,6314.0,57.28,6076.0,789.0,1787.0
2025-06-30,LinkedIn,4270.0,3917.0,45.72,1009.0,353.0,1201.0
2025-06-03,LinkedIn,36676.0,3066.0,70.23,6178.0,3974.0,2561.0
2025-05-20,LinkedIn,46303.0,40540.0,8.54,8747.0,3666.0,2854.0
2025-06-30,Facebook,43028.0,19968.0,83.34,1935.0,2285.0,1419.0
2025-06-03,LinkedIn,41888.0,13805.0,55.01,9018.0,1196.0,2773.0
2025-05-07,Instagram,19144.0,9566.0,80.25,4396.0,3246.0,49.0
2025-05-20,Facebook,46779.0,30033.0,17.34,9821.0,4985.0,2946.0
2025-04-30,Twitter,16038.0,10867.0,55.11,7261.0,838.0,
