date,channel,schedule_item,GRPs,reach,frequency
2025-07-03,TV,Tend term book.,161.64,49.52,9.67
2025-04-21,Online,Over station.,158.09,51.64,3.36
2025-05-04,Print,Fine most.,130.09,21.94,2.57
2025-07-01,TV,Anyone service bank rule.,164.77,93.35,4.2
2025-05-05,Print,Say guess interesting.,118.66,19.16,6.57
2025-05-20,Radio,Agency loss cause science rise.,135.17,89.28,6.05
2025-05-18,Online,Bill or charge.,170.46,15.19,9.38
2025-05-12,Print,Name factor listen politics.,95.7,15.61,4.36
2025-06-09,TV,Nation activity wait stage suggest.,71.58,63.62,1.68
2025-06-20,Radio,Order treatment ready.,40.1,6.23,6.34
2025-04-19,TV,Who case recently.,138.51,35.75,9.95
2025-05-18,Radio,Discover improve including fly national.,147.84,48.6,1.63
2025-05-01,TV,Nature fly door customer kitchen.,105.93,82.13,6.57
2025-04-17,Print,Those something subject forget.,147.91,78.54,4.35
2025-04-15,Radio,Risk station stand PM interesting.,154.08,3.85,2.68
2025-06-17,Print,Two maybe.,127.02,84.33,1.22
2025-07-10,Radio,Talk to remember.,26.04,46.42,1.01
2025-06-27,Radio,East court its wonder note.,38.68,2.49,9.14
2025-05-18,TV,Trip machine should.,25.14,57.89,2.67
2025-06-15,Radio,Poor argue week team.,17.39,33.89,8.25
2025-05-27,Radio,Along national strong million.,183.53,91.7,7.63
2025-06-16,Online,Main over.,36.69,92.13,5.41
2025-07-09,Print,Save start design.,90.31,22.81,4.75
2025-05-27,Radio,This fact local try house.,176.33,57.53,2.4
2025-04-16,Online,Collection stuff push.,111.99,61.47,5.24
2025-07-11,Radio,Worker full I.,34.98,67.92,6.62
2025-05-18,Online,Discuss meeting fight drug grow.,133.53,40.06,3.52
2025-04-27,TV,Line need week girl put.,52.44,33.07,4.18
2025-05-17,Radio,Address film any return.,,40.66,4.52
2025-06-11,Online,Pass example bill.,91.67,9.19,8.63
2025-06-09,TV,Part people result.,131.87,76.94,9.49
2025-06-04,TV,Six successful check I.,185.7,59.79,8.36
2025-05-14,Online,Land build.,103.8,49.84,7.65
2025-05-15,Radio,Beat free enter really.,117.42,42.95,5.38
2025-07-10,Print,Now leg father guess.,19.11,4.57,9.87
2025-06-02,TV,Then impact.,153.62,71.82,8.66
2025-04-18,Online,Everybody address hard shake.,29.67,31.41,4.73
2025-05-10,TV,Teacher teach chance performance front.,63.1,47.73,8.49
2025-04-30,Print,Without idea major can.,160.16,49.65,2.58
2025-05-01,Radio,Civil dark enter across.,129.39,64.31,1.29
2025-05-27,Online,News pressure let include that.,122.05,20.19,6.33
2025-06-04,Online,Seven feel.,151.86,24.34,7.2
2025-04-26,Online,Dream central hand.,55.58,47.59,8.87
2025-06-03,Radio,Activity when many.,131.68,40.98,8.81
2025-06-20,TV,Girl seat arm.,189.74,66.22,3.77
2025-06-27,Online,Front church.,96.78,12.05,9.63
2025-04-18,Radio,Challenge teacher high start.,144.81,99.81,5.37
2025-06-25,Radio,Federal number lawyer.,151.27,10.7,4.95
2025-06-02,Radio,Apply work.,109.23,15.84,9.84
2025-05-04,Print,Interesting stock successful.,77.47,27.31,9.81
,Radio,See stock.,122.86,65.08,8.99
2025-06-21,TV,Morning modern sell.,42.21,15.52,6.13
2025-06-03,Print,Man mean policy week.,50.66,10.12,8.13
2025-06-28,Online,Laugh sense common defense.,173.42,19.4,4.96
2025-05-28,TV,Account project various data.,88.12,52.95,6.0
2025-06-01,Radio,Better American citizen building them.,23.11,66.62,
2025-05-03,Online,Mean wall.,197.34,30.59,8.53
2025-06-04,Online,Activity bad family.,149.91,18.78,6.0
2025-05-21,Radio,Prevent stand bag degree.,142.03,62.09,7.43
2025-04-29,Online,How by from probably edge.,118.89,7.21,2.85
2025-04-17,Print,Reflect trouble attack great.,95.15,16.03,7.46
,Radio,Film technology.,48.53,33.39,1.3
2025-05-08,TV,Poor accept production dream.,162.26,28.55,8.13
2025-05-05,Print,Ok dog however.,108.47,23.06,3.65
2025-05-19,Radio,Into me in face.,48.1,9.95,1.07
2025-04-28,Online,Challenge daughter point.,97.26,97.55,8.0
2025-06-04,Radio,Themselves affect past.,192.18,89.9,1.11
2025-06-26,Radio,Nature let scene.,105.94,77.07,6.54
2025-05-02,Print,War know.,20.99,87.62,2.75
2025-06-07,Print,Too special.,40.39,49.78,5.43
2025-06-09,,Pick point.,73.8,3.82,6.63
2025-06-05,Online,,183.23,46.43,9.61
2025-04-28,k5iw6eZB,Change my choose.,124.8,1.72,9.96
2025-05-03,Print,Along rise.,86.7,45.76,7.26
2025-04-21,Online,Evening whether investment poor.,91.6,9.77,6.1
2025-05-01,Print,Discover pretty notice.,58.02,8.02,1.82
2025-06-10,Print,Lead just.,74.18,62.0,4.57
2025-04-24,TV,Partner answer you pay style.,32.62,11.92,3.5
2025-06-24,Online,Film public.,182.83,82.06,9.56
2025-04-29,Radio,Money positive power cup.,24.75,86.68,6.14
2025-05-29,Radio,Teacher public professional open partner.,43.41,12.59,2.45
2025-05-02,Radio,Decide hold decision spring.,40.61,73.83,2.53
2025-05-21,Radio,Maintain resource kind central.,197.29,9.32,6.82
2025-06-11,Online,Or phone whom.,116.27,28.05,6.74
2025-05-15,Print,Real break.,52.05,72.46,9.8
2025-04-22,TV,Be thus.,72.68,42.86,9.72
2025-05-22,Online,Cover huge easy matter.,94.82,77.58,2.87
2025-04-29,TV,Present region age member fear.,46.34,53.9,8.81
2025-06-11,Online,Mind short design.,DSkEqMZT,22.08,3.86
2025-06-24,TV,Exist media person way.,106.15,57.93,7.12
2025-05-13,Online,Weight study.,160.92,61.87,6.44
2025-07-07,TV,Sea check field north.,101.78,56.34,7.43
2025-06-28,Online,Exist college.,,88.83,5.68
2025-06-13,Online,Maintain possible store system.,143.37,53.98,3.14
2025-06-09,TV,Mouth she knowledge article specific.,168.4,66.32,7.04
2025-05-28,Radio,They source.,148.31,44.36,3.76
2025-05-06,Radio,Brother both.,164.69,38.04,5.52
2025-05-13,TV,Enter rate address writer.,95.3,94.88,4.18
2025-06-02,Print,Woman officer.,51.99,35.04,4.13
2025-05-01,Print,Room outside.,101.57,20.15,1.53
2025-04-15,Print,Purpose term situation film.,197.73,60.06,8.68
2025-04-18,TV,Thousand ball.,42.37,34.46,9.57
2025-06-15,Print,Shoulder relationship.,30.62,2.53,9.97
2025-04-24,Print,Lawyer owner.,34.62,77.13,8.5
2025-05-20,TV,Dark almost onto than.,177.63,96.71,8.24
2025-06-09,Online,Party kitchen cover the by.,30.58,41.0,VSiIt8BH
2025-04-29,TV,Father cost its effort.,134.26,,1.83
2025-05-30,Radio,Kitchen key store go.,132.63,45.17,7.44
2025-07-01,Print,Democrat left fund spring be.,49.53,1.12,4.23
2025-06-13,Radio,Thousand trial pay.,28.47,89.2,9.46
2025-07-13,Online,Network manage wear.,119.44,44.56,5.85
2025-05-22,Radio,According worry seven throw.,78.06,59.58,7.42
2025-07-11,Online,Almost low mouth situation.,123.22,63.79,7.01
2025-05-13,Online,Out occur amount game.,116.38,43.66,2.72
2025-05-18,Online,Purpose similar pull apply wall.,167.89,29.43,2.77
2025-04-18,,Notice watch these.,138.61,69.97,9.25
2025-06-09,TV,Lose strong.,68.9,41.88,3.57
2025-06-05,TV,Seem TV probably cold.,170.93,96.39,3.0
2025-07-08,Print,Television water probably decide.,193.87,59.57,6.24
2025-04-26,Radio,Bit need crime.,34.74,88.25,9.57
2025-07-01,Print,Medical must east.,94.7,24.73,3.25
2025-07-03,Online,Successful big blood none.,136.35,2.33,2.91
2025-04-26,Radio,Hope under third entire.,105.4,13.82,5.87
2025-06-29,Radio,Describe exactly true call four.,190.22,70.81,9.37
2025-06-28,Print,Worry full.,185.58,11.59,6.26
2025-06-27,Online,Someone religious issue.,197.38,2.15,1.63
2025-06-22,Online,Book benefit figure.,50.8,97.47,5.87
2025-06-23,Print,Member arm.,186.06,17.57,5.57
2025-05-09,Print,Data good.,186.09,1.09,1.7
2025-06-03,Online,Table itself adult.,53.16,2.59,1.02
2025-06-02,TV,Machine girl once reveal officer.,33.88,25.89,9.12
2025-05-24,TV,Show strong democratic per.,147.02,78.77,3.68
2025-06-25,Print,Or visit hospital hope individual.,34.64,7.12,7.62
2025-04-25,Radio,Into between.,186.31,54.07,1.4
2025-05-17,Print,Rise line heart.,172.3,98.43,3.25
2025-04-15,TV,Research purpose hope.,180.61,60.35,7.7
2025-04-16,TV,Above position.,10.41,60.06,1.77
2025-07-05,Print,Response television job which follow.,194.19,50.81,6.69
2025-06-01,TV,Lay enough production.,57.7,61.3,6.57
2025-07-10,Online,Do along agency.,84.84,42.12,7.89
2025-05-20,Online,Example get really country.,52.34,16.81,2.49
2025-06-11,TV,Already assume subject.,111.87,88.21,9.13
2025-04-18,TV,Beautiful child.,59.02,59.04,5.84
2025-04-21,Online,Color act catch hour.,171.7,99.31,8.93
2025-05-13,Online,Friend note same.,188.95,26.62,4.17
2025-07-13,Radio,Street performance sure.,143.69,90.48,8.6
,Online,Number yet.,146.19,93.13,3.29
2025-04-25,Print,Message those.,126.41,14.34,4.3
2025-05-15,Radio,Forward night personal.,175.17,92.07,5.26
2025-07-06,TV,Local build day knowledge everyone.,136.28,24.86,9.7
vYE7v9CF,Online,Mother summer reduce television.,90.72,4.54,1.91
2025-05-04,TV,Main chance.,39.86,5.55,5.5
2025-07-08,Radio,Never concern pattern.,29.28,93.77,3.71
2025-07-06,TV,Space start recognize always.,124.05,85.54,3.96
2025-07-06,TV,Section window fill base.,14.19,85.79,7.71
2025-06-18,Radio,Prepare catch school.,143.16,14.05,7.17
2025-05-28,Radio,Prepare improve.,108.81,97.22,4.72
2025-07-09,Print,Sea there marriage leader.,190.61,53.74,8.27
2025-07-09,TV,Court mother.,126.36,32.79,6.01
2025-06-30,TV,Room available need responsibility assume.,107.88,3.55,8.05
2025-05-05,TV,Explain item unit.,139.05,47.87,8.84
2025-04-24,Print,Those risk.,195.92,50.1,5.81
2025-05-22,TV,Right require.,85.15,5.49,4.65
2025-05-07,Radio,Environment common ability prevent.,24.6,41.98,3.6
2025-06-17,Radio,Say trial central tend.,70.65,65.32,3.08
2025-07-03,TV,Few world energy safe.,78.44,7.24,2.8
2025-04-27,Radio,,180.72,16.1,5.53
,Print,Read result not heavy stage.,JOnjiqnX,51.05,4.92
2025-05-22,,Than because few economic.,,43.73,4.66
2025-05-15,TV,Design itself six Congress.,31.7,50.14,9.34
2025-04-16,Print,Central town education collection interesting.,159.36,48.56,3.51
2025-05-31,Radio,Role alone school.,95.45,20.86,5.25
2025-06-07,Online,Course individual early believe.,175.63,93.14,1.15
2025-05-14,Radio,Difficult interview risk central report.,44.43,1.8,9.59
2025-06-22,Radio,Position federal long family.,136.07,19.63,4.7
2025-07-05,TV,However key.,151.87,51.42,6.74
2025-04-23,Online,Also certainly.,179.06,6.39,2.05
,Print,Probably wife sell deep station.,125.12,57.64,1.84
2025-05-08,Radio,Perform collection.,24.33,59.04,1.89
2025-05-29,Online,Hand stuff store property.,180.46,52.68,6.35
2025-04-21,Print,Suddenly agree between mouth bill.,199.34,66.96,2.48
2025-06-02,Radio,,156.88,99.58,7.58
2025-05-07,Print,1duVa0O9,104.92,4.48,8.12
2025-07-09,Online,Believe unit professional.,98.48,9.09,9.55
2025-04-22,6cJRggov,Vote fear form.,39.61,16.05,3.96
2025-04-27,Print,Kitchen exist magazine anyone.,154.84,41.52,2.05
2025-05-04,Radio,System free no.,27.51,10.09,8.55
2025-06-12,TV,Fall other follow nearly.,182.15,64.12,3.02
2025-04-29,Online,Perform score.,107.31,28.09,4.78
2025-04-24,Print,Child soon.,195.24,24.67,9.61
2025-06-06,Print,Billion compare.,110.62,18.93,1.93
2025-06-28,Online,Artist according seem stage.,94.13,43.95,2.79
2025-05-11,TV,Lot through bank.,139.33,18.72,2.38
2025-04-22,Print,Key decade size last continue.,103.5,35.89,2.74
2025-04-26,Radio,Them program now us none.,86.1,58.32,8.62
2025-05-15,TV,Past popular of.,81.48,50.38,9.46
2025-05-02,Online,Bed sit.,162.4,37.5,1.68
2025-05-13,Print,Relate forget phone.,30.42,85.67,2.19
2025-05-22,Radio,Toward letter personal.,19.0,73.95,6.46
2025-05-30,Radio,Feel weight author change.,89.26,29.66,4.33
2025-05-29,Radio,Establish dinner east item knowledge.,180.45,20.4,4.51
2025-05-28,Online,Fill tree make form fly.,109.13,31.23,8.4
2025-06-09,Print,Mr old base.,85.59,93.39,7.5
2025-07-06,Print,Field poor.,190.27,52.04,5.22
2025-07-05,Print,Standard against.,49.8,27.13,6.75
2025-05-03,Radio,Nice boy well.,14.37,87.12,2.51
2025-07-10,G9go4so6,Different room.,142.17,72.99,9.58
2025-06-26,Online,Explain represent protect structure.,42.71,80.92,7.97
2025-06-08,TV,Friend soon on culture.,148.4,3.35,1.91
2025-06-06,Radio,Bit sense machine around.,91.78,2.07,8.24
2025-04-28,TV,Leave admit.,37.63,70.72,3.72
2025-05-21,Print,Heavy grow data or.,76.47,50.77,2.84
2025-06-08,VhSnmgtB,Truth wear.,22.59,33.16,9.35
2025-06-06,Online,True live bar.,159.3,90.19,5.2
2025-06-29,Radio,Expert carry color.,28.65,4.73,8.36
2025-06-11,TV,Me watch.,151.35,44.93,3.45
2025-07-08,Online,Here able far likely.,40.77,52.04,6.4
2025-06-14,Online,Be ahead.,66.32,21.14,4.74
2025-05-11,Radio,Usually drive beautiful significant send.,105.82,34.18,8.36
2025-06-15,Online,Place condition true next provide.,153.47,72.28,2.44
2025-05-07,Online,House again discussion accept.,131.68,44.85,7.9
2025-04-22,Radio,Bank three successful suddenly against.,78.05,74.43,3.46
2025-05-26,Radio,Day Mr course whether.,198.66,16.8,9.96
2025-06-26,Print,Rest month.,183.69,44.07,6.16
2025-06-06,Online,Able concern gas.,108.64,46.83,2.09
2025-05-11,Online,End nor language do.,,22.06,9.38
2025-07-10,TV,Choose industry light.,86.03,68.96,9.69
2025-04-16,TV,Specific raise marriage success play.,46.44,30.57,2.59
2025-05-24,Online,All consider.,92.38,18.29,8.19
2025-05-30,Online,Business coach PM.,18.07,46.81,7.59
2025-04-28,Print,It thought better.,139.82,82.32,9.69
2025-07-12,Print,Camera interesting describe ten.,147.62,95.99,9.39
2025-07-12,TV,Good senior free.,155.61,47.9,1.78
2025-06-07,Print,Enjoy present happen bit.,76.84,74.86,1.31
2025-05-18,Radio,Toward official morning mother support.,101.92,12.13,2.05
2025-07-02,Radio,Rule mind per wish chance.,113.68,46.4,4.12
2025-04-19,Online,Ground here stand.,148.29,80.49,
2025-06-19,TV,Maybe process safe born.,47.09,18.82,6.96
2025-06-20,Print,Imagine tax minute.,165.35,65.13,6.36
2025-04-20,Online,Stand former.,116.58,78.63,3.33
2025-04-22,Print,All popular stop short price.,39.72,16.11,2.0
2025-06-14,Print,National pressure.,60.51,75.25,8.17
2025-04-23,Radio,Them maintain bad first shake.,137.57,72.68,8.28
2025-04-21,Radio,Hit understand need seven.,115.67,45.83,8.17
2025-06-09,Online,Avoid picture.,181.16,47.43,9.58
2025-05-01,Online,Tonight now with.,193.18,18.1,5.87
2025-05-07,Print,Sister report time.,93.47,36.9,9.68
2025-05-08,Online,Scene eight want.,98.71,84.24,5.24
2025-07-04,Radio,Develop play week.,93.62,11.66,2.27
2025-05-07,Print,Fish professor democratic particular think.,98.64,42.73,6.74
2025-06-07,Online,Big draw scene.,39.64,48.79,7.84
2025-07-01,Radio,Cell toward whatever.,102.13,69.8,6.36
2025-05-29,Online,Stock economic box.,193.24,85.55,8.2
2025-06-27,TV,Heavy ever address finish.,156.67,47.82,2.11
2025-06-20,Radio,Future some area window read.,80.8,49.83,2.83
2025-07-12,,Where shake.,146.68,28.44,4.6
2025-05-05,TV,Thank a look add military.,129.32,76.81,9.0
2025-05-07,TV,Watch politics gas buy level.,152.79,45.94,2.18
2025-04-20,Radio,Morning say.,94.16,23.58,
2025-04-18,Print,Inside above suggest.,190.05,25.68,3.69
2025-05-06,Online,Itself bad unit than.,171.22,87.03,7.3
2025-07-13,Print,Heart challenge final yourself year.,88.88,29.11,1.73
2025-04-30,Print,Store walk across.,122.83,81.54,7.48
2025-05-22,TV,Election by easy left sell.,72.2,96.94,4.55
2025-04-23,Online,Education and mean.,59.74,75.42,3.9
2025-06-24,Radio,Cover without.,101.47,30.52,9.33
2025-06-06,Online,Administration product green.,195.5,85.37,5.1
2025-04-17,,Poor nature service right.,52.2,56.94,8.69
2025-04-21,TV,Mother firm.,25.96,26.34,5.74
2025-07-03,Print,Care market success.,89.0,70.05,5.48
2025-05-21,Online,Degree lawyer.,161.19,39.24,2.57
2025-05-11,Online,No house point others be.,169.07,54.42,9.45
2025-04-25,TV,Want drug move.,177.61,39.69,4.93
2025-06-26,Online,Movement option network.,155.26,31.57,1.54
2025-05-29,Online,Push feeling.,188.99,59.25,4.73
2025-05-12,TV,Write conference until various.,130.6,24.14,8.13
2025-04-24,Radio,Race range.,30.14,2.27,5.54
2025-07-05,Online,Brother yes along make sea.,110.73,22.89,5.59
2025-05-05,Online,Hand share.,155.12,57.88,5.41
2025-06-05,Radio,Leg nothing yet.,125.81,13.62,3.02
2025-04-16,Radio,Nothing buy food.,42.94,3.2,2.18
2025-05-11,Online,Meeting agent paper wrong not.,54.9,49.77,9.48
2025-04-22,TV,Lose system ball sit.,175.97,90.6,6.57
2025-04-25,Print,Quickly whom happy soldier specific.,115.08,60.63,6.94
2025-05-07,Print,Reality half international somebody.,86.7,99.93,5.62
2025-05-12,Online,Some sometimes attorney girl others.,72.93,72.5,1.35
2025-06-21,Online,Alone option child.,156.3,9.93,9.65
2025-07-10,TV,Dog something expert one.,105.86,26.49,2.96
2025-05-13,Online,Move its position son.,127.71,17.0,1.67
2025-04-29,Radio,Economy stop sell girl.,48.52,32.94,1.05
2025-07-05,Online,Law discussion two.,80.57,57.56,9.21
2025-07-10,Radio,Often art.,79.83,37.26,7.21
2025-05-02,Print,Region truth build likely.,146.47,63.13,9.34
2025-07-08,Print,Rock yourself husband.,76.92,48.47,1.72
2025-05-18,TV,Add war little.,123.03,83.67,1.2
2025-04-19,Online,Condition individual civil help.,47.92,79.5,2.46
2025-06-27,Print,Action write night enough nothing.,53.12,24.61,3.38
2025-04-28,Radio,Learn small large.,76.23,76.55,5.47
2025-06-30,TV,Third there.,69.67,15.02,8.95
2025-06-15,TV,College feeling often perhaps.,41.86,76.87,9.35
2025-06-11,Print,Cost maybe.,45.52,59.86,5.89
2025-07-03,Print,Style popular anyone cold.,135.12,37.7,2.66
2025-06-02,Online,Health brother.,82.95,88.99,1.84
2025-04-30,Online,Social fish parent seat their.,97.24,85.74,9.99
2025-06-20,TV,Son speech once data policy.,88.63,74.35,6.03
2025-05-26,Print,Less car point high.,158.09,88.62,6.2
2025-05-19,Radio,Reveal affect.,170.86,32.55,6.35
2025-07-01,Radio,Enter produce old last western.,134.6,45.07,8.8
2025-05-21,Print,Purpose answer adult account power.,125.4,78.09,5.51
2025-06-14,Online,Course training evening hair.,29.92,23.85,7.51
2025-07-05,Radio,Before course local.,121.74,41.99,9.83
2025-05-05,TV,Push she property easy least.,103.5,,5.79
