date,metric_value
2024-11-11 10:12:12.899521,1130.0
2024-11-12 10:12:12.899521,1848.0
2024-11-13 10:12:12.899521,8692.0
2024-11-14 10:12:12.899521,Ec9mUDuy
2024-11-15 10:12:12.899521,2729.0
2024-11-16 10:12:12.899521,7911.0
2024-11-17 10:12:12.899521,5817.0
,8304.0
2024-11-19 10:12:12.899521,2508.0
2024-11-20 10:12:12.899521,331.0
2024-11-21 10:12:12.899521,9933.0
2024-11-22 10:12:12.899521,6203.0
2024-11-23 10:12:12.899521,1375.0
2024-11-24 10:12:12.899521,8714.0
2024-11-25 10:12:12.899521,Wp58gyDf
2024-11-26 10:12:12.899521,7654.0
2024-11-27 10:12:12.899521,5823.0
2024-11-28 10:12:12.899521,3577.0
,7714.0
2024-11-30 10:12:12.899521,9680.0
2024-12-01 10:12:12.899521,6564.0
2024-12-02 10:12:12.899521,1915.0
2024-12-03 10:12:12.899521,7126.0
2024-12-04 10:12:12.899521,7514.0
2024-12-05 10:12:12.899521,3910.0
2024-12-06 10:12:12.899521,1543.0
2024-12-07 10:12:12.899521,3871.0
2024-12-08 10:12:12.899521,3595.0
2024-12-09 10:12:12.899521,475.0
2024-12-10 10:12:12.899521,9897.0
2024-12-11 10:12:12.899521,9983.0
2024-12-12 10:12:12.899521,9869.0
2024-12-13 10:12:12.899521,3672.0
2024-12-14 10:12:12.899521,1443.0
2024-12-15 10:12:12.899521,2911.0
2024-12-16 10:12:12.899521,3168.0
2024-12-17 10:12:12.899521,8852.0
2024-12-18 10:12:12.899521,1836.0
2024-12-19 10:12:12.899521,7348.0
2024-12-20 10:12:12.899521,9816.0
2024-12-21 10:12:12.899521,4122.0
2024-12-22 10:12:12.899521,2328.0
2024-12-23 10:12:12.899521,7251.0
2024-12-24 10:12:12.899521,502.0
2024-12-25 10:12:12.899521,5747.0
2024-12-26 10:12:12.899521,5437.0
2024-12-27 10:12:12.899521,308.0
2024-12-28 10:12:12.899521,8323.0
2024-12-29 10:12:12.899521,7652.0
2024-12-30 10:12:12.899521,7363.0
2024-12-31 10:12:12.899521,8342.0
2025-01-01 10:12:12.899521,9996.0
2025-01-02 10:12:12.899521,795.0
2025-01-03 10:12:12.899521,399.0
2025-01-04 10:12:12.899521,7214.0
2025-01-05 10:12:12.899521,2542.0
2025-01-06 10:12:12.899521,2617.0
2025-01-07 10:12:12.899521,3468.0
2025-01-08 10:12:12.899521,5207.0
2025-01-09 10:12:12.899521,
2025-01-10 10:12:12.899521,8407.0
2025-01-11 10:12:12.899521,5220.0
2025-01-12 10:12:12.899521,7128.0
2025-01-13 10:12:12.899521,8790.0
2025-01-14 10:12:12.899521,8429.0
2025-01-15 10:12:12.899521,4024.0
2025-01-16 10:12:12.899521,5758.0
2025-01-17 10:12:12.899521,2072.0
3ymuqZfe,1930.0
2025-01-19 10:12:12.899521,3491.0
2025-01-20 10:12:12.899521,6068.0
2025-01-21 10:12:12.899521,314.0
2025-01-22 10:12:12.899521,8066.0
2025-01-23 10:12:12.899521,3692.0
2025-01-24 10:12:12.899521,4198.0
2025-01-25 10:12:12.899521,739.0
2025-01-26 10:12:12.899521,3054.0
2025-01-27 10:12:12.899521,9623.0
2025-01-28 10:12:12.899521,6984.0
2025-01-29 10:12:12.899521,6976.0
2025-01-30 10:12:12.899521,4408.0
2025-01-31 10:12:12.899521,2905.0
2025-02-01 10:12:12.899521,8115.0
2025-02-02 10:12:12.899521,2621.0
2025-02-03 10:12:12.899521,3542.0
2025-02-04 10:12:12.899521,8731.0
2025-02-05 10:12:12.899521,8558.0
2025-02-06 10:12:12.899521,1188.0
2025-02-07 10:12:12.899521,2851.0
2025-02-08 10:12:12.899521,4423.0
2025-02-09 10:12:12.899521,6091.0
2025-02-10 10:12:12.899521,4443.0
2025-02-11 10:12:12.899521,7105.0
2025-02-12 10:12:12.899521,7202.0
2025-02-13 10:12:12.899521,6603.0
2025-02-14 10:12:12.899521,5356.0
2025-02-15 10:12:12.899521,5719.0
2025-02-16 10:12:12.899521,6852.0
2025-02-17 10:12:12.899521,490.0
2025-02-18 10:12:12.899521,369.0
2025-02-19 10:12:12.899521,2642.0
2025-02-20 10:12:12.899521,7851.0
2025-02-21 10:12:12.899521,6669.0
,715.0
2025-02-23 10:12:12.899521,1126.0
2025-02-24 10:12:12.899521,9271.0
2025-02-25 10:12:12.899521,2334.0
2025-02-26 10:12:12.899521,9759.0
2025-02-27 10:12:12.899521,8091.0
2025-02-28 10:12:12.899521,8661.0
2025-03-01 10:12:12.899521,5260.0
2025-03-02 10:12:12.899521,2478.0
2025-03-03 10:12:12.899521,635.0
2025-03-04 10:12:12.899521,9906.0
2025-03-05 10:12:12.899521,4215.0
2025-03-06 10:12:12.899521,4322.0
2025-03-07 10:12:12.899521,4640.0
2025-03-08 10:12:12.899521,6107.0
2025-03-09 10:12:12.899521,3514.0
2025-03-10 10:12:12.899521,6817.0
2025-03-11 10:12:12.899521,2935.0
2025-03-12 10:12:12.899521,5268.0
2025-03-13 10:12:12.899521,1757.0
2025-03-14 10:12:12.899521,1594.0
2025-03-15 10:12:12.899521,9739.0
2025-03-16 10:12:12.899521,2144.0
2025-03-17 10:12:12.899521,3645.0
2025-03-18 10:12:12.899521,1526.0
2025-03-19 10:12:12.899521,1322.0
2025-03-20 10:12:12.899521,3932.0
2025-03-21 10:12:12.899521,1513.0
2025-03-22 10:12:12.899521,3240.0
2025-03-23 10:12:12.899521,2273.0
2025-03-24 10:12:12.899521,6007.0
2025-03-25 10:12:12.899521,7743.0
2025-03-26 10:12:12.899521,6760.0
2025-03-27 10:12:12.899521,4628.0
2025-03-28 10:12:12.899521,8768.0
2025-03-29 10:12:12.899521,7029.0
2025-03-30 10:12:12.899521,2694.0
2025-03-31 10:12:12.899521,1766.0
2025-04-01 10:12:12.899521,6151.0
2025-04-02 10:12:12.899521,178.0
2025-04-03 10:12:12.899521,8502.0
2025-04-04 10:12:12.899521,3746.0
2025-04-05 10:12:12.899521,5706.0
2025-04-06 10:12:12.899521,1180.0
2025-04-07 10:12:12.899521,5437.0
2025-04-08 10:12:12.899521,3984.0
2025-04-09 10:12:12.899521,3452.0
2025-04-10 10:12:12.899521,8745.0
2025-04-11 10:12:12.899521,8278.0
2025-04-12 10:12:12.899521,2279.0
2025-04-13 10:12:12.899521,9795.0
2025-04-14 10:12:12.899521,7614.0
2025-04-15 10:12:12.899521,7883.0
2025-04-16 10:12:12.899521,362.0
2025-04-17 10:12:12.899521,1837.0
2025-04-18 10:12:12.899521,3919.0
2025-04-19 10:12:12.899521,9789.0
2025-04-20 10:12:12.899521,247.0
2025-04-21 10:12:12.899521,2890.0
2025-04-22 10:12:12.899521,4030.0
2025-04-23 10:12:12.899521,701.0
2025-04-24 10:12:12.899521,1841.0
2025-04-25 10:12:12.899521,6276.0
2025-04-26 10:12:12.899521,2653.0
2025-04-27 10:12:12.899521,2089.0
2025-04-28 10:12:12.899521,2143.0
2025-04-29 10:12:12.899521,9539.0
2025-04-30 10:12:12.899521,5308.0
2025-05-01 10:12:12.899521,2965.0
2025-05-02 10:12:12.899521,1266.0
2025-05-03 10:12:12.899521,3674.0
2025-05-04 10:12:12.899521,9223.0
2025-05-05 10:12:12.899521,8398.0
2025-05-06 10:12:12.899521,3654.0
2025-05-07 10:12:12.899521,9531.0
2025-05-08 10:12:12.899521,8664.0
2025-05-09 10:12:12.899521,9179.0
2025-05-10 10:12:12.899521,9747.0
2025-05-11 10:12:12.899521,5938.0
2025-05-12 10:12:12.899521,4544.0
2025-05-13 10:12:12.899521,6602.0
2025-05-14 10:12:12.899521,6411.0
2025-05-15 10:12:12.899521,4153.0
2025-05-16 10:12:12.899521,7727.0
2025-05-17 10:12:12.899521,5444.0
2025-05-18 10:12:12.899521,6948.0
2025-05-19 10:12:12.899521,8814.0
2025-05-20 10:12:12.899521,1975.0
2025-05-21 10:12:12.899521,289.0
2025-05-22 10:12:12.899521,263.0
2025-05-23 10:12:12.899521,1469.0
2025-05-24 10:12:12.899521,8687.0
2025-05-25 10:12:12.899521,9030.0
2025-05-26 10:12:12.899521,7256.0
2025-05-27 10:12:12.899521,8127.0
2025-05-28 10:12:12.899521,6223.0
2025-05-29 10:12:12.899521,3664.0
2025-05-30 10:12:12.899521,6924.0
2025-05-31 10:12:12.899521,269.0
2025-06-01 10:12:12.899521,7356.0
2025-06-02 10:12:12.899521,2378.0
2025-06-03 10:12:12.899521,8983.0
2025-06-04 10:12:12.899521,1464.0
2025-06-05 10:12:12.899521,328.0
2025-06-06 10:12:12.899521,7173.0
2025-06-07 10:12:12.899521,4644.0
2025-06-08 10:12:12.899521,2381.0
2025-06-09 10:12:12.899521,2468.0
2025-06-10 10:12:12.899521,5935.0
2025-06-11 10:12:12.899521,6126.0
2025-06-12 10:12:12.899521,
2025-06-13 10:12:12.899521,8422.0
2025-06-14 10:12:12.899521,8686.0
2025-06-15 10:12:12.899521,2053.0
2025-06-16 10:12:12.899521,1400.0
2025-06-17 10:12:12.899521,2179.0
2025-06-18 10:12:12.899521,9769.0
2025-06-19 10:12:12.899521,5563.0
2025-06-20 10:12:12.899521,9603.0
2025-06-21 10:12:12.899521,3346.0
2025-06-22 10:12:12.899521,7541.0
2025-06-23 10:12:12.899521,1062.0
2025-06-24 10:12:12.899521,5870.0
2025-06-25 10:12:12.899521,900.0
2025-06-26 10:12:12.899521,9066.0
2025-06-27 10:12:12.899521,5059.0
2025-06-28 10:12:12.899521,4417.0
2025-06-29 10:12:12.899521,2591.0
2025-06-30 10:12:12.899521,2573.0
2025-07-01 10:12:12.899521,4579.0
2025-07-02 10:12:12.899521,4110.0
2025-07-03 10:12:12.899521,
2025-07-04 10:12:12.899521,9718.0
2025-07-05 10:12:12.899521,6789.0
2025-07-06 10:12:12.899521,7307.0
2025-07-07 10:12:12.899521,3827.0
2025-07-08 10:12:12.899521,4426.0
2025-07-09 10:12:12.899521,8612.0
2025-07-10 10:12:12.899521,535.0
2025-07-11 10:12:12.899521,5220.0
2025-07-12 10:12:12.899521,5423.0
2025-07-13 10:12:12.899521,8436.0
2025-07-14 10:12:12.899521,6322.0
